Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_76_303,VGND,li1,143.0600,209.4400,0.000001
FILLER_76_282,VGND,li1,132.7100,209.4400,0.000001
FILLER_76_270,VGND,li1,127.1900,209.4400,0.000001
FILLER_76_264,VGND,li1,125.5800,209.4400,0.000001
FILLER_76_253,VGND,li1,119.6000,209.4400,0.000001
FILLER_76_210,VGND,li1,99.8200,209.4400,0.000001
FILLER_76_197,VGND,li1,94.3000,209.4400,0.000001
FILLER_76_194,VGND,li1,92.4600,209.4400,0.000001
FILLER_76_181,VGND,li1,86.4800,209.4400,0.000001
FILLER_76_159,VGND,li1,76.3600,209.4400,0.000001
FILLER_76_141,VGND,li1,68.0800,209.4400,0.000001
FILLER_76_139,VGND,li1,66.9300,209.4400,0.000001
FILLER_76_122,VGND,li1,59.3400,209.4400,0.000001
FILLER_76_100,VGND,li1,49.2200,209.4400,0.000000
FILLER_76_91,VGND,li1,44.8500,209.4400,0.000000
FILLER_76_85,VGND,li1,43.2400,209.4400,0.000000
FILLER_76_83,VGND,li1,41.1700,209.4400,0.000000
FILLER_76_77,VGND,li1,39.5600,209.4400,0.000000
FILLER_76_65,VGND,li1,35.4200,209.4400,0.000000
FILLER_76_53,VGND,li1,29.9000,209.4400,0.000000
FILLER_76_41,VGND,li1,24.3800,209.4400,0.000000
FILLER_76_29,VGND,li1,18.8600,209.4400,0.000000
FILLER_76_27,VGND,li1,15.4100,209.4400,0.000000
FILLER_76_15,VGND,li1,12.4200,209.4400,0.000000
FILLER_76_3,VGND,li1,6.9000,209.4400,0.000000
FILLER_75_709,VGND,li1,329.8200,209.4400,0.000000
FILLER_75_697,VGND,li1,326.1400,209.4400,0.000000
FILLER_75_685,VGND,li1,320.6200,209.4400,0.000000
FILLER_75_673,VGND,li1,315.1000,209.4400,0.000000
FILLER_75_671,VGND,li1,311.6500,209.4400,0.000000
FILLER_75_665,VGND,li1,310.0400,209.4400,0.000000
FILLER_75_653,VGND,li1,305.9000,209.4400,0.000000
FILLER_75_641,VGND,li1,300.3800,209.4400,0.000000
FILLER_75_629,VGND,li1,294.8600,209.4400,0.000000
FILLER_75_617,VGND,li1,289.3400,209.4400,0.000000
FILLER_75_610,VGND,li1,284.7400,209.4400,0.000000
FILLER_75_599,VGND,li1,278.9900,209.4400,0.000000
FILLER_75_586,VGND,li1,273.2400,209.4400,0.000000
FILLER_75_554,VGND,li1,258.9800,209.4400,0.000000
FILLER_75_530,VGND,li1,246.7900,209.4400,0.000000
FILLER_75_526,VGND,li1,245.6400,209.4400,0.000000
FILLER_75_505,VGND,li1,235.7500,209.4400,0.000000
FILLER_75_500,VGND,li1,233.6800,209.4400,0.000000
FILLER_75_490,VGND,li1,228.3900,209.4400,0.000000
FILLER_75_486,VGND,li1,227.2400,209.4400,0.000000
FILLER_75_445,VGND,li1,208.1500,209.4400,0.000001
FILLER_75_433,VGND,li1,202.1700,209.4400,0.000001
FILLER_75_404,VGND,li1,188.8300,209.4400,0.000001
FILLER_75_366,VGND,li1,171.8100,209.4400,0.000001
FILLER_75_361,VGND,li1,169.5100,209.4400,0.000001
FILLER_75_349,VGND,li1,163.9900,209.4400,0.000001
FILLER_75_337,VGND,li1,160.5400,209.4400,0.000001
FILLER_75_330,VGND,li1,155.9400,209.4400,0.000001
FILLER_75_318,VGND,li1,151.8000,209.4400,0.000001
FILLER_75_277,VGND,li1,130.8700,209.4400,0.000001
FILLER_75_264,VGND,li1,125.1200,209.4400,0.000001
FILLER_75_243,VGND,li1,114.7700,209.4400,0.000001
FILLER_75_204,VGND,li1,96.8300,209.4400,0.000001
FILLER_75_175,VGND,li1,83.4900,209.4400,0.000001
FILLER_75_169,VGND,li1,81.8800,209.4400,0.000001
FILLER_75_147,VGND,li1,71.3000,209.4400,0.000001
FILLER_75_113,VGND,li1,56.1200,209.4400,0.000001
FILLER_75_111,VGND,li1,54.0500,209.4400,0.000000
FILLER_75_107,VGND,li1,52.9000,209.4400,0.000000
FILLER_75_77,VGND,li1,38.4100,209.4400,0.000000
FILLER_75_69,VGND,li1,36.3400,209.4400,0.000000
FILLER_75_57,VGND,li1,31.7400,209.4400,0.000000
FILLER_75_55,VGND,li1,28.2900,209.4400,0.000000
FILLER_75_51,VGND,li1,27.1400,209.4400,0.000000
FILLER_75_39,VGND,li1,23.4600,209.4400,0.000000
FILLER_75_27,VGND,li1,17.9400,209.4400,0.000000
FILLER_75_15,VGND,li1,12.4200,209.4400,0.000000
FILLER_75_3,VGND,li1,6.9000,209.4400,0.000000
FILLER_74_701,VGND,li1,327.9800,204.0000,0.000000
FILLER_74_699,VGND,li1,324.5300,204.0000,0.000000
FILLER_74_693,VGND,li1,322.9200,204.0000,0.000000
FILLER_74_681,VGND,li1,318.7800,204.0000,0.000000
FILLER_74_669,VGND,li1,313.2600,204.0000,0.000000
FILLER_74_657,VGND,li1,307.7400,204.0000,0.000000
FILLER_74_645,VGND,li1,302.2200,204.0000,0.000000
FILLER_74_632,VGND,li1,296.2400,204.0000,0.000000
FILLER_74_620,VGND,li1,290.7200,204.0000,0.000000
FILLER_74_582,VGND,li1,271.8600,204.0000,0.000000
FILLER_74_531,VGND,li1,247.2500,204.0000,0.000000
FILLER_74_525,VGND,li1,245.6400,204.0000,0.000000
FILLER_74_486,VGND,li1,226.5500,204.0000,0.000001
FILLER_74_475,VGND,li1,221.4900,204.0000,0.000001
FILLER_74_454,VGND,li1,211.8300,204.0000,0.000001
FILLER_74_430,VGND,li1,201.4800,204.0000,0.000001
FILLER_74_417,VGND,li1,195.2700,204.0000,0.000001
FILLER_74_395,VGND,li1,185.3800,204.0000,0.000001
FILLER_74_363,VGND,li1,169.9700,204.0000,0.000002
FILLER_74_342,VGND,li1,160.5400,204.0000,0.000002
FILLER_74_326,VGND,li1,154.5600,204.0000,0.000002
FILLER_74_302,VGND,li1,143.0600,204.0000,0.000002
