Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_71_458,VPWR,li1,214.3600,195.8400,1.799999
FILLER_71_410,VPWR,li1,191.5900,195.8400,1.799999
FILLER_71_402,VPWR,li1,189.5200,195.8400,1.799999
FILLER_71_390,VPWR,li1,182.6200,195.8400,1.799999
FILLER_71_380,VPWR,li1,177.7900,195.8400,1.799999
FILLER_71_369,VPWR,li1,173.1900,195.8400,1.799999
FILLER_71_337,VPWR,li1,158.7000,195.8400,1.799999
FILLER_71_333,VPWR,li1,156.6300,195.8400,1.799999
FILLER_71_294,VPWR,li1,138.2300,195.8400,1.799999
FILLER_71_258,VPWR,li1,121.9000,195.8400,1.799999
FILLER_71_234,VPWR,li1,111.3200,195.8400,1.799999
FILLER_71_218,VPWR,li1,104.4200,195.8400,1.799999
FILLER_71_155,VPWR,li1,74.9800,195.8400,1.799999
FILLER_71_122,VPWR,li1,59.8000,195.8400,1.799999
FILLER_71_108,VPWR,li1,53.3600,195.8400,1.799999
FILLER_71_87,VPWR,li1,43.0100,195.8400,1.799999
FILLER_71_77,VPWR,li1,38.6400,195.8400,1.799999
FILLER_71_69,VPWR,li1,36.3400,195.8400,1.800000
FILLER_71_57,VPWR,li1,31.7400,195.8400,1.800000
FILLER_71_55,VPWR,li1,28.2900,195.8400,1.800000
FILLER_71_51,VPWR,li1,27.1400,195.8400,1.800000
FILLER_71_39,VPWR,li1,23.4600,195.8400,1.800000
FILLER_71_27,VPWR,li1,17.9400,195.8400,1.800000
FILLER_71_15,VPWR,li1,12.4200,195.8400,1.800000
FILLER_71_3,VPWR,li1,6.9000,195.8400,1.800000
FILLER_70_701,VPWR,li1,327.9800,195.8400,1.800000
