net,length_um
_196_,5.8µm
_203_,5.8µm
ui_in[1],5.79µm
scan_chain.scan_cells\[55\].scan_cell.primary_ff,5.74µm
_181_,5.68µm
_207_,5.68µm
net92,5.68µm
uo_out[1],5.62µm
net162,5.62µm
_007_,5.6µm
net155,5.52µm
_075_,5.5µm
net115,5.5µm
_018_,5.46µm
_048_,5.46µm
_047_,5.38µm
net180,5.26µm
_024_,5.24µm
ui_in[0],5.21µm
net109,5.16µm
net113,5.16µm
_085_,5.14µm
_110_,5.14µm
_228_,5.12µm
net90,5.12µm
net166,5.12µm
net169,5.12µm
net70,5.11µm
_053_,5.04µm
_136_,5.04µm
_092_,5µm
_220_,4.92µm
_245_,4.92µm
_014_,4.88µm
_040_,4.88µm
_221_,4.88µm
_235_,4.88µm
_077_,4.78µm
net152,4.7µm
_033_,4.68µm
_094_,4.58µm
net84,4.58µm
_154_,4.48µm
_119_,4.46µm
_127_,4.46µm
net164,4.34µm
_054_,4.305µm
_078_,4.305µm
_143_,4.26µm
_093_,4.22µm
_208_,4.2µm
_209_,4.2µm
net120,4.2µm
net142,4.2µm
net71,4.19µm
_192_,4.14µm
net129,4.14µm
net153,4.14µm
_087_,4.12µm
_112_,4.12µm
_128_,4.12µm
_026_,4.08µm
_041_,4.02µm
_116_,4µm
_122_,4µm
_123_,4µm
net172,3.88µm
net101,3.78µm
net141,3.78µm
net146,3.78µm
net147,3.78µm
_066_,3.76µm
_194_,3.74µm
net137,3.68µm
net184,3.68µm
_004_,3.66µm
net104,3.66µm
_057_,3.64µm
_140_,3.55µm
_051_,3.54µm
_139_,3.54µm
_242_,3.44µm
net128,3.42µm
_089_,3.385µm
_216_,3.32µm
net102,3.32µm
net134,3.32µm
_042_,3.3µm
_046_,3.3µm
_067_,3.3µm
_109_,3.3µm
net89,3.22µm
net182,3.22µm
net190,3.22µm
_010_,3.2µm
_035_,3.2µm
_064_,3.2µm
_080_,3.2µm
_101_,3.2µm
_147_,3.1µm
_160_,3.1µm
_161_,3.1µm
_163_,3.1µm
_059_,3.08µm
_060_,3.08µm
_091_,3.08µm
_151_,3.08µm
_237_,3.08µm
_240_,3.08µm
_244_,3.08µm
net133,2.98µm
_022_,2.96µm
net58,2.9µm
net59,2.9µm
net60,2.9µm
net61,2.9µm
net62,2.9µm
net63,2.9µm
net64,2.9µm
net72,2.9µm
net57,2.9µm
_227_,2.76µm
net93,2.76µm
net122,2.76µm
net157,2.76µm
_063_,2.74µm
_096_,2.74µm
_104_,2.74µm
_107_,2.74µm
_120_,2.74µm
_124_,2.74µm
_028_,2.64µm
_079_,2.64µm
_099_,2.64µm
_015_,2.62µm
_037_,2.62µm
_105_,2.62µm
_249_,2.62µm
_162_,2.4µm
_226_,2.4µm
_230_,2.4µm
net107,2.4µm
_215_,2.3µm
net85,2.3µm
net95,2.3µm
net97,2.3µm
net131,2.3µm
net136,2.3µm
net149,2.3µm
net151,2.3µm
net154,2.3µm
net165,2.3µm
net168,2.3µm
net171,2.3µm
net181,2.3µm
_027_,2.28µm
_032_,2.28µm
_045_,2.28µm
_073_,2.28µm
_081_,2.28µm
_111_,2.28µm
_129_,2.28µm
_098_,2.18µm
_134_,2.18µm
_137_,2.18µm
_005_,2.16µm
_034_,2.16µm
_115_,2.16µm
_222_,2.16µm
_043_,2.04µm
net118,2.04µm
net177,2.04µm
_144_,1.94µm
_219_,1.94µm
net135,1.94µm
net143,1.94µm
_169_,1.84µm
_170_,1.84µm
_172_,1.84µm
_190_,1.84µm
_019_,1.82µm
_023_,1.82µm
_036_,1.82µm
_055_,1.82µm
_076_,1.82µm
_088_,1.82µm
_114_,1.82µm
_131_,1.82µm
_012_,1.7µm
_097_,1.7µm
_229_,1.48µm
_233_,1.48µm
_239_,1.48µm
net186,1.48µm
_013_,1.36µm
_044_,1.36µm
_065_,1.36µm
_113_,1.36µm
